venue_region,season,bowler,balls,runs_conceded,wickets,dot_balls,innings_bowled,overs,economy,bowling_strike_rate,dot_ball_pct,runs_per_wicket
India,2014,DS Kulkarni,96,134,3,37,5,16.0,8.38,32.0,38.54,44.67
India,2014,DW Steyn,216,310,6,89,9,36.0,8.61,36.0,41.2,51.67
India,2014,GJ Maxwell,30,60,1,6,4,5.0,12.0,30.0,20.0,60.0
India,2014,HV Patel,66,118,4,22,3,11.0,10.73,16.5,33.33,29.5
India,2014,Harbhajan Singh,216,257,12,92,9,36.0,7.14,18.0,42.59,21.42
India,2014,I Sharma,18,35,0,6,1,3.0,11.67,0.0,33.33,0.0
India,2014,IC Pandey,162,239,3,69,8,27.0,8.85,54.0,42.59,79.67
India,2014,IK Pathan,118,168,4,34,8,19.67,8.54,29.5,28.81,42.0
India,2014,Imran Tahir,125,176,11,38,6,20.83,8.45,11.36,30.4,16.0
India,2014,JA Morkel,36,40,1,17,2,6.0,6.67,36.0,47.22,40.0
India,2014,JD Unadkat,91,142,3,36,5,15.17,9.36,30.33,39.56,47.33
India,2014,JDS Neesham,6,18,0,2,1,1.0,18.0,0.0,33.33,0.0
India,2014,JH Kallis,48,90,1,13,3,8.0,11.25,48.0,27.08,90.0
India,2014,JJ Bumrah,226,293,6,88,10,37.67,7.78,37.67,38.94,48.83
India,2014,JO Holder,18,35,1,6,1,3.0,11.67,18.0,33.33,35.0
India,2014,JP Duminy,114,149,3,33,6,19.0,7.84,38.0,28.95,49.67
India,2014,JP Faulkner,188,310,10,59,9,31.33,9.89,18.8,31.38,31.0
India,2014,JW Hastings,18,29,1,9,1,3.0,9.67,18.0,50.0,29.0
India,2014,K Santokie,48,91,3,15,2,8.0,11.38,16.0,31.25,30.33
India,2014,KA Pollard,108,200,3,26,9,18.0,11.11,36.0,24.07,66.67
India,2014,KK Cooper,108,146,4,34,5,18.0,8.11,27.0,31.48,36.5
India,2014,KV Sharma,196,251,15,78,9,32.67,7.68,13.07,39.8,16.73
India,2014,KW Richardson,72,111,3,27,3,12.0,9.25,24.0,37.5,37.0
India,2014,Karanveer Singh,120,164,12,42,5,20.0,8.2,10.0,35.0,13.67
India,2014,L Balaji,90,162,4,29,4,15.0,10.8,22.5,32.22,40.5
India,2014,LMP Simmons,18,34,1,2,1,3.0,11.33,18.0,11.11,34.0
India,2014,LR Shukla,38,62,1,13,3,6.33,9.79,38.0,34.21,62.0
India,2014,M Kartik,24,40,1,5,1,4.0,10.0,24.0,20.83,40.0
India,2014,M Morkel,168,218,7,89,7,28.0,7.79,24.0,52.98,31.14
India,2014,M Muralitharan,84,100,4,34,4,14.0,7.14,21.0,40.48,25.0
India,2014,M de Lange,24,33,2,7,1,4.0,8.25,12.0,29.17,16.5
India,2014,MA Starc,202,284,9,68,9,33.67,8.43,22.44,33.66,31.56
India,2014,MC Henriques,60,96,4,20,4,10.0,9.6,15.0,33.33,24.0
India,2014,MG Johnson,205,303,10,83,9,34.17,8.87,20.5,40.49,30.3
India,2014,MK Tiwary,12,28,0,3,1,2.0,14.0,0.0,25.0,0.0
India,2014,MM Sharma,228,350,17,83,11,38.0,9.21,13.41,36.4,20.59
India,2014,Mohammed Shami,144,197,4,58,7,24.0,8.21,36.0,40.28,49.25
India,2014,P Awana,99,173,6,34,5,16.5,10.48,16.5,34.34,28.83
India,2014,P Kumar,72,81,4,33,3,12.0,6.75,18.0,45.83,20.25
India,2014,P Negi,24,39,1,3,1,4.0,9.75,24.0,12.5,39.0
India,2014,P Suyal,18,35,1,8,1,3.0,11.67,18.0,44.44,35.0
India,2014,PJ Cummins,24,29,2,12,1,4.0,7.25,12.0,50.0,14.5
India,2014,PP Chawla,162,216,9,50,7,27.0,8.0,18.0,30.86,24.0
India,2014,PP Ojha,162,218,4,63,7,27.0,8.07,40.5,38.89,54.5
India,2014,PV Tambe,174,235,8,42,8,29.0,8.1,21.75,24.14,29.38
India,2014,Parvez Rasool,54,83,1,14,3,9.0,9.22,54.0,25.93,83.0
India,2014,R Ashwin,252,337,11,87,11,42.0,8.02,22.91,34.52,30.64
India,2014,R Bhatia,132,177,6,28,7,22.0,8.05,22.0,21.21,29.5
India,2014,R Dhawan,204,285,10,60,9,34.0,8.38,20.4,29.41,28.5
India,2014,R Rampaul,12,21,1,5,1,2.0,10.5,12.0,41.67,21.0
India,2014,R Sharma,18,32,0,4,1,3.0,10.67,0.0,22.22,0.0
India,2014,R Shukla,54,105,3,18,3,9.0,11.67,18.0,33.33,35.0
India,2014,R Tewatia,54,59,3,21,3,9.0,6.56,18.0,38.89,19.67
India,2014,R Vinay Kumar,108,183,4,30,5,18.0,10.17,27.0,27.78,45.75
India,2014,RA Jadeja,238,314,14,78,11,39.67,7.92,17.0,32.77,22.43
India,2014,RG Sharma,6,6,0,0,1,1.0,6.0,0.0,0.0,0.0
India,2014,RN ten Doeschate,30,35,1,13,4,5.0,7.0,30.0,43.33,35.0
India,2014,S Badree,84,103,2,40,4,14.0,7.36,42.0,47.62,51.5
India,2014,S Gopal,84,113,6,30,4,14.0,8.07,14.0,35.71,18.83
India,2014,S Kaul,78,136,2,24,5,13.0,10.46,39.0,30.77,68.0
India,2014,S Nadeem,128,181,5,34,6,21.33,8.49,25.6,26.56,36.2
India,2014,S Rana,12,16,0,3,2,2.0,8.0,0.0,25.0,0.0
India,2014,SA Yadav,6,8,0,2,1,1.0,8.0,0.0,33.33,0.0
India,2014,SB Jakati,22,41,0,4,1,3.67,11.17,0.0,18.18,0.0
India,2014,SK Raina,78,97,1,25,6,13.0,7.46,78.0,32.05,97.0
India,2014,SL Malinga,118,137,9,48,5,19.67,6.96,13.11,40.68,15.22
India,2014,SP Narine,264,306,13,101,11,44.0,6.95,20.31,38.26,23.54
India,2014,SR Watson,90,131,6,41,6,15.0,8.73,15.0,45.56,21.83
India,2014,STR Binny,24,35,1,6,3,4.0,8.75,24.0,25.0,35.0
