batter,matches,balls,batter_runs
Harpreet Brar,23,174,209
Mohammad Nabi,17,145,207
UT Yadav,46,205,206
CA Ingram,15,183,205
K Gowtham,25,132,205
PD Collingwood,7,159,203
SP Fleming,10,171,196
BJ Rohrer,8,146,193
Salman Butt,7,172,193
HC Brook,11,159,190
Kuldeep Yadav,35,219,188
Bipul Sharma,17,124,187
R Shepherd,12,93,185
MS Wade,14,185,183
SD Hope,9,125,183
FY Fazal,11,179,183
Sikandar Raza,9,143,182
AC Voges,7,143,181
JD Unadkat,24,147,181
C Munro,11,144,177
Sameer Rizvi,9,126,172
DH Yagnik,17,142,170
CR Brathwaite,13,109,170
R Dhawan,20,148,168
PA Reddy,10,167,164
MG Johnson,26,160,163
MN Samuels,13,170,160
R McLaren,13,178,159
MF Maharoof,12,103,156
K Rabada,22,162,155
DW Steyn,30,142,154
JC Archer,20,117,149
D Wiese,11,105,148
AD Hales,6,119,148
SM Pollock,8,116,147
S Vidyut,8,115,145
S Gopal,16,131,143
V Nigam,8,82,142
M Jansen,20,136,141
N Saini,10,143,140
SB Dubey,11,87,139
Sachin Baby,10,106,137
S Anirudha,12,121,136
YV Takawale,6,122,134
N Jagadeesan,8,124,129
CM Gautam,9,124,129
Kamran Akmal,6,78,128
UT Khawaja,6,105,127
P Dogra,12,141,127
RD Chahar,19,121,127
SS Prabhudessai,10,113,126
BB Samantray,8,116,125
MC Juneja,7,134,125
MM Sharma,30,140,125
Anmolpreet Singh,8,103,123
Harpreet Singh,8,119,123
AC Blizzard,7,91,120
AB McDonald,8,99,120
Arshad Khan,10,90,119
SB Styris,9,126,117
Misbah-ul-Haq,8,82,117
MW Short,6,99,117
KK Cooper,12,70,116
AS Raut,9,107,116
W Jaffer,6,110,115
Aman Hakim Khan,10,109,115
DJM Short,7,102,115
M Morkel,17,79,113
AB Agarkar,13,102,113
TG Southee,17,99,113
DJ Harris,4,103,111
MJ Santner,19,111,110
DL Chahar,12,73,109
LJ Wright,5,63,106
NK Patel,4,83,103
Z Khan,21,123,101
JO Holder,16,86,99
Azmatullah Omarzai,9,77,99
MJ Clarke,6,96,98
CJ Ferguson,8,119,98
PN Mankad,5,75,97
RJ Harris,16,94,96
B Lee,15,67,96
SM Katich,2,72,96
K Goel,8,99,94
SD Chitnis,7,83,93
PHKD Mendis,5,72,92
M Kartik,12,89,92
DJ Jacobs,7,101,92
RT Ponting,9,129,91
SK Warne,17,101,90
AD Nath,10,99,90
S Rana,7,73,88
Iqbal Abdulla,13,86,88
DL Vettori,13,86,87
Ankit Sharma,10,69,87
AP Majumdar,4,77,87
Mohammed Siraj,17,103,87
MS Gony,13,69,86
SL Malinga,18,98,86
TA Boult,22,82,85
MJ McClenaghan,20,73,85
AJ Tye,12,72,85
MA Starc,19,87,85
RE Levi,6,74,83
Shahid Afridi,9,46,81
PWH de Silva,17,93,80
CR Woakes,12,77,78
Mohammed Shami,23,84,77
IR Jaggi,7,100,76
TR Birt,5,59,75
M Klinger,4,78,73
RR Sarwan,4,78,73
SK Rasheed,5,67,71
J Suchith,9,62,70
Vivrant Sharma,1,49,69
PK Garg,4,56,68
Urvil Patel,3,34,68
JG Bethell,2,39,67
HR Shokeen,5,67,66
R Sharma,19,77,66
WD Parnell,13,86,65
DS Kulkarni,15,74,64
