batter,balls_faced,runs,fours,sixes,boundaries,dot_balls,strike_rate,dot_ball_pct,boundary_runs,boundary_run_pct
VR Iyer,808,1098,99,51,150,324,135.89,40.1,702,63.93
RK Singh,782,1088,86,56,142,286,139.13,36.57,680,62.5
M Vohra,863,1083,104,43,147,393,125.49,45.54,674,62.23
DP Conway,794,1080,117,34,151,288,136.02,36.27,672,62.22
LMP Simmons,878,1079,109,44,153,402,122.89,45.79,700,64.87
V Shankar,842,1073,69,47,116,286,127.43,33.97,558,52.0
PD Salt,623,1056,122,56,178,242,169.5,38.84,824,78.03
BJ Hodge,828,1034,88,34,122,307,124.88,37.08,556,53.77
LS Livingstone,656,1009,67,74,141,247,153.81,37.65,712,70.56
MM Ali,715,1004,85,60,145,296,140.42,41.4,700,69.72
JM Sharma,656,991,77,62,139,249,151.07,37.96,680,68.62
CL White,774,971,76,38,114,274,125.45,35.4,532,54.79
A Badoni,740,963,73,38,111,261,130.14,35.27,520,54.0
IK Pathan,810,948,71,32,103,301,117.04,37.16,476,50.21
EJG Morgan,809,946,79,38,117,348,116.93,43.02,544,57.51
MC Henriques,747,943,84,26,110,260,126.24,34.81,492,52.17
KP Pietersen,634,866,80,36,116,234,136.59,36.91,536,61.89
JA Morkel,607,850,52,50,102,214,140.03,35.26,508,59.76
TH David,521,845,54,60,114,182,162.19,34.93,576,68.17
Y Venugopal Rao,710,821,68,34,102,304,115.63,42.82,476,57.98
STR Binny,648,812,62,33,95,254,125.31,39.2,446,54.93
SM Curran,612,807,73,29,102,219,131.86,35.78,466,57.74
MS Bisla,728,795,93,23,116,369,109.2,50.69,510,64.15
R Tewatia,583,788,72,35,107,222,135.16,38.08,498,63.2
Shashank Singh,510,773,56,43,99,159,151.57,31.18,482,62.35
R Ashwin,624,741,58,27,85,232,118.75,37.18,394,53.17
TM Dilshan,690,735,98,11,109,336,106.52,48.7,458,62.31
Harbhajan Singh,552,727,71,36,107,247,131.7,44.75,500,68.78
A Symonds,610,725,59,30,89,253,118.85,41.48,416,57.38
Shakib Al Hasan,601,721,67,20,87,220,119.97,36.61,388,53.81
N Wadhera,522,719,60,39,99,205,137.74,39.27,474,65.92
T Stubbs,442,711,51,38,89,108,160.86,24.43,432,60.76
AD Mathews,585,708,42,29,71,203,121.03,34.7,342,48.31
C Green,472,707,62,32,94,144,149.79,30.51,440,62.23
M Shahrukh Khan,486,686,44,46,90,187,141.15,38.48,452,65.89
LRPL Taylor,580,682,40,31,71,227,117.59,39.14,346,50.73
Dhruv Jurel,456,680,51,38,89,148,149.12,32.46,432,63.53
Abishek Porel,454,661,65,27,92,155,145.59,34.14,422,63.84
BA Stokes,511,650,45,25,70,168,127.2,32.88,330,50.77
PP Chawla,520,582,52,20,72,228,111.92,43.85,328,56.36
HM Amla,418,577,60,21,81,150,138.04,35.89,366,63.43
CH Morris,373,565,37,32,69,116,151.47,31.1,340,60.18
GJ Bailey,463,564,47,19,66,176,121.81,38.01,302,53.55
Abdul Samad,377,555,34,39,73,140,147.21,37.14,370,66.67
SN Khan,422,552,58,14,72,144,130.81,34.12,316,57.25
JD Ryder,417,548,60,19,79,174,131.41,41.73,354,64.6
ST Jayasuriya,368,547,61,32,93,183,148.64,49.73,436,79.71
Priyansh Arya,310,545,60,31,91,118,175.81,38.06,426,78.17
