venue,phase,phase_runs
"Rajiv Gandhi International Stadium, Uppal",Death (15-19),44.203821656050955
"Rajiv Gandhi International Stadium, Uppal",Middle (6-14),69.8048780487805
"Rajiv Gandhi International Stadium, Uppal",Powerplay (0-5),48.2969696969697
"SCA Stadium, Rajkot",Death (15-19),45.77777777777778
"SCA Stadium, Rajkot",Middle (6-14),69.3
"SCA Stadium, Rajkot",Powerplay (0-5),55.3
"Sawai Mansingh Stadium, Jaipur",Death (15-19),43.950413223140494
"Sawai Mansingh Stadium, Jaipur",Middle (6-14),70.86614173228347
"Sawai Mansingh Stadium, Jaipur",Powerplay (0-5),47.1953125
"Sharjah Cricket Stadium, UAE",Death (15-19),43.0377358490566
"Sharjah Cricket Stadium, UAE",Middle (6-14),67.0
"Sharjah Cricket Stadium, UAE",Powerplay (0-5),45.535714285714285
"Sheikh Zayed Stadium, UAE",Death (15-19),44.10909090909091
"Sheikh Zayed Stadium, UAE",Middle (6-14),66.74137931034483
"Sheikh Zayed Stadium, UAE",Powerplay (0-5),43.672413793103445
"St George's Park, Gqeberha, SA",Death (15-19),39.857142857142854
"St George's Park, Gqeberha, SA",Middle (6-14),60.57142857142857
"St George's Park, Gqeberha, SA",Powerplay (0-5),44.785714285714285
"SuperSport Park, Centurion, SA",Death (15-19),40.65217391304348
"SuperSport Park, Centurion, SA",Middle (6-14),68.0
"SuperSport Park, Centurion, SA",Powerplay (0-5),45.25
"VCA Stadium, Nagpur",Death (15-19),35.166666666666664
"VCA Stadium, Nagpur",Middle (6-14),67.66666666666667
"VCA Stadium, Nagpur",Powerplay (0-5),44.166666666666664
"Wankhede Stadium, Mumbai",Death (15-19),47.3625
"Wankhede Stadium, Mumbai",Middle (6-14),72.86345381526104
"Wankhede Stadium, Mumbai",Powerplay (0-5),47.176
"Zayed Cricket Stadium, Abu Dhabi",Death (15-19),39.86666666666667
"Zayed Cricket Stadium, Abu Dhabi",Middle (6-14),66.8125
"Zayed Cricket Stadium, Abu Dhabi",Powerplay (0-5),50.5
