team_batting,matches,balls,total_runs
3,235,28308,38604
1,226,26471,36931
494,225,26804,36818
2,225,27067,36197
6,221,25756,35015
252,220,25903,34724
129,209,25270,34390
134,195,23295,31690
615,60,7331,10649
614,58,7144,10242
1419,45,5443,6358
4,30,3480,4533
5,26,3124,4215
1414,14,1582,1901
