season_id,team_batting,runs,balls,matches,run_rate
2022,Royal Challengers Bangalore,2632,1965,16,8.04
2022,Sunrisers Hyderabad,2197,1623,14,8.12
2023,Chennai Super Kings,2712,1804,15,9.02
2023,Delhi Capitals,2182,1718,14,7.62
2023,Gujarat Titans,3054,2050,17,8.94
2023,Kolkata Knight Riders,2463,1728,14,8.55
2023,Lucknow Super Giants,2479,1832,15,8.12
2023,Mumbai Indians,2945,1925,16,9.18
2023,Punjab Kings,2556,1752,14,8.75
2023,Rajasthan Royals,2419,1633,14,8.89
2023,Royal Challengers Bangalore,2502,1693,14,8.87
2023,Sunrisers Hyderabad,2376,1728,14,8.25
2024,Chennai Super Kings,2524,1719,14,8.81
2024,Delhi Capitals,2573,1641,14,9.41
2024,Gujarat Titans,2040,1473,12,8.31
2024,Kolkata Knight Riders,2667,1594,14,10.04
2024,Lucknow Super Giants,2483,1728,14,8.62
2024,Mumbai Indians,2568,1686,14,9.14
2024,Punjab Kings,2487,1693,14,8.81
2024,Rajasthan Royals,2647,1832,15,8.67
2024,Royal Challengers Bangalore,2930,1818,15,9.67
2024,Sunrisers Hyderabad,3052,1919,16,9.54
2025,Chennai Super Kings,2441,1744,14,8.4
2025,Delhi Capitals,2487,1665,14,8.96
2025,Gujarat Titans,2892,1837,15,9.45
2025,Kolkata Knight Riders,2002,1381,13,8.7
2025,Lucknow Super Giants,2732,1744,14,9.4
2025,Mumbai Indians,2912,1886,16,9.26
2025,Punjab Kings,3262,2032,18,9.63
2025,Rajasthan Royals,2603,1674,14,9.33
2025,Royal Challengers Bangalore,2653,1713,15,9.29
2025,Sunrisers Hyderabad,2519,1599,13,9.45
