match_id,season_id_x,team_batting,team_bowling,match_winner,result,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,venue_region
501215,2011,129,1414,1414.0,win,,7.0,1414.0,field,"Nehru Stadium, Goa",Kochi,India
501216,2011,2,252,2.0,win,16.0,,2.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
501218,2011,1419,3,3.0,win,,7.0,1419.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
501220,2011,134,494,494.0,win,48.0,,134.0,field,"PCA Stadium, Mohali",Chandigarh,India
501219,2011,1414,6,1414.0,win,6.0,,6.0,field,"Eden Gardens, Kolkata",Kolkata,India
501224,2011,3,2,3.0,win,37.0,,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
501221,2011,3,129,3.0,win,8.0,,129.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
501222,2011,6,1,1.0,win,,9.0,1.0,field,"Eden Gardens, Kolkata",Kolkata,India
501223,2011,252,494,252.0,win,29.0,,494.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
501225,2011,1414,134,134.0,win,,8.0,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
501226,2011,129,1419,129.0,win,25.0,,1419.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
501229,2011,1414,2,2.0,win,55.0,,1414.0,field,"Nehru Stadium, Goa",Kochi,India
501232,2011,1,1419,1.0,win,26.0,,1419.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
501237,2011,3,494,3.0,win,23.0,,494.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
501227,2011,252,1,1.0,win,,3.0,1.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
501228,2011,1419,129,129.0,win,,8.0,1419.0,bat,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai,India
501230,2011,6,252,6.0,win,17.0,,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
501231,2011,3,134,134.0,win,,7.0,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
501233,2011,252,1414,252.0,win,38.0,,252.0,bat,"Nehru Stadium, Goa",Kochi,India
501234,2011,494,6,6.0,win,,8.0,6.0,field,"Eden Gardens, Kolkata",Kolkata,India
501235,2011,1419,134,134.0,win,,6.0,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
501236,2011,129,2,129.0,win,19.0,,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
501238,2011,252,1414,1414.0,win,,7.0,1414.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
501239,2011,6,2,6.0,win,20.0,,2.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
501240,2011,134,129,129.0,win,,8.0,134.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
501241,2011,3,1419,3.0,win,21.0,,1419.0,field,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai,India
501242,2011,1414,6,1414.0,win,17.0,,6.0,field,"Nehru Stadium, Goa",Kochi,India
501243,2011,252,2,252.0,win,,4.0,252.0,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
501244,2011,1,494,1.0,win,85.0,,494.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
501246,2011,252,3,3.0,win,32.0,,252.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
501245,2011,129,6,6.0,win,10.0,,129.0,bat,"Eden Gardens, Kolkata",Kolkata,India
501247,2011,1414,1,1.0,win,,9.0,1414.0,bat,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
501252,2011,1,134,1.0,win,,9.0,1.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
501248,2011,494,1419,1419.0,win,,5.0,494.0,bat,"PCA Stadium, Mohali",Chandigarh,India
501249,2011,129,134,129.0,win,63.0,,134.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
501257,2011,252,494,494.0,win,29.0,,252.0,field,"HPCA Stadium, Dharamshala",Dharamsala,India
501250,2011,2,1419,1419.0,win,,6.0,2.0,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
501251,2011,494,3,494.0,win,76.0,,3.0,field,"PCA Stadium, Mohali",Chandigarh,India
501253,2011,129,252,129.0,win,18.0,,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
501254,2011,1414,494,494.0,win,,6.0,494.0,field,"Holkar Cricket Stadium, Indore",Indore,India
501255,2011,6,1,1.0,win,,4.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
501256,2011,2,3,2.0,win,10.0,,2.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
501258,2011,134,1414,1414.0,win,,8.0,1414.0,field,"Holkar Cricket Stadium, Indore",Indore,India
501262,2011,1419,6,6.0,win,,7.0,6.0,field,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai,India
501259,2011,1419,2,2.0,win,,6.0,2.0,field,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai,India
501260,2011,494,1,494.0,win,111.0,,494.0,bat,"HPCA Stadium, Dharamshala",Dharamsala,India
501261,2011,129,1414,129.0,win,11.0,,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
501263,2011,3,134,134.0,win,,10.0,3.0,bat,"Wankhede Stadium, Mumbai",Mumbai,India
501264,2011,2,494,2.0,win,82.0,,494.0,field,"HPCA Stadium, Dharamshala",Dharamsala,India
501265,2011,252,1419,1419.0,no result,,,252.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
501266,2011,129,1,1.0,win,,8.0,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
501267,2011,6,3,3.0,win,,5.0,3.0,field,"Eden Gardens, Kolkata",Kolkata,India
501268,2011,1,129,129.0,win,,6.0,129.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
501269,2011,6,3,3.0,win,,4.0,3.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
501270,2011,1,3,1.0,win,43.0,,3.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
548307,2012,6,252,252.0,win,,8.0,252.0,field,"Eden Gardens, Kolkata",Kolkata,India
501271,2011,129,1,129.0,win,58.0,,129.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
548306,2012,129,3,3.0,win,,8.0,3.0,field,"MA Chidambaram Stadium, Chennai",Chennai,India
548308,2012,1419,3,1419.0,win,28.0,,3.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548309,2012,134,494,134.0,win,31.0,,494.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548310,2012,1,252,1.0,win,20.0,,252.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548311,2012,129,2,129.0,win,74.0,,2.0,field,ACA-VDCA Cricket Stadium - Vizag,Visakhapatnam,India
548312,2012,134,6,134.0,win,22.0,,6.0,field,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548313,2012,1419,494,1419.0,win,22.0,,1419.0,bat,"MCA Stadium, Pune",Pune,India
548314,2012,2,3,3.0,win,,5.0,2.0,bat,ACA-VDCA Cricket Stadium - Vizag,Visakhapatnam,India
548315,2012,6,1,6.0,win,42.0,,1.0,field,"M Chinnaswamy Stadium, Bengaluru",Bangalore,India
548316,2012,129,252,252.0,win,,8.0,252.0,field,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548317,2012,3,134,3.0,win,27.0,,134.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548319,2012,1419,494,494.0,win,,7.0,494.0,field,"PCA Stadium, Mohali",Chandigarh,India
548318,2012,1,129,129.0,win,,5.0,1.0,bat,"MA Chidambaram Stadium, Chennai",Chennai,India
548320,2012,134,6,6.0,win,,5.0,134.0,bat,"Eden Gardens, Kolkata",Kolkata,India
548325,2012,3,252,252.0,win,,7.0,252.0,field,"Wankhede Stadium, Mumbai",Mumbai,India
548321,2012,2,252,252.0,win,,5.0,2.0,bat,"Arun Jaitley Stadium, New, Delhi",Delhi,India
548326,2012,134,2,134.0,win,,5.0,2.0,bat,"Sawai Mansingh Stadium, Jaipur",Jaipur,India
548322,2012,129,1419,1419.0,win,,7.0,129.0,bat,"MCA Stadium, Pune",Pune,India
